obsolete	replacement
MONDO:0002566	MONDO:0019369
MONDO:0002573	MONDO:0017386
MONDO:0002575	MONDO:0006389
MONDO:0002584	MONDO:0017987
MONDO:0002589	MONDO:0016975
MONDO:0002591	MONDO:0016974
MONDO:0002593	MONDO:0020515
MONDO:0002596	MONDO:0008978
MONDO:0002600	MONDO:0015864
MONDO:0002607	MONDO:0011705
MONDO:0002608	MONDO:0017720
MONDO:0002609	MONDO:0018149
MONDO:0002611	MONDO:0007295
MONDO:0002662	MONDO:0019095
MONDO:0002663	MONDO:0016586
MONDO:0002668	MONDO:0006215
MONDO:0002673	MONDO:0011934
MONDO:0002686	MONDO:0019024
MONDO:0002689	MONDO:0017048
MONDO:0002690	MONDO:0016642
MONDO:0002699	MONDO:0005184
MONDO:0002700	MONDO:0016787
MONDO:0002704	MONDO:0006087
MONDO:0002709	MONDO:0018800
MONDO:0002711	MONDO:0006085
MONDO:0002723	MONDO:0019023
MONDO:0002725	MONDO:0019315
MONDO:0002733	MONDO:0024432
MONDO:0002743	MONDO:0006067
MONDO:0002753	MONDO:0006309
MONDO:0002767	MONDO:0019145
MONDO:0002773	MONDO:0016706
MONDO:0002774	MONDO:0016706
MONDO:0002777	MONDO:0018667
MONDO:0002780	MONDO:0006423
MONDO:0002784	MONDO:0006175
MONDO:0002793	MONDO:0006300
MONDO:0002799	MONDO:0016710
MONDO:0002818	MONDO:0006639
MONDO:0002819	MONDO:0019159
MONDO:0002820	MONDO:0015075
MONDO:0002823	MONDO:0015277
MONDO:0002825	MONDO:0019772
MONDO:0002826	MONDO:0018076
MONDO:0002827	MONDO:0006295
MONDO:0002830	MONDO:0006343
MONDO:0002835	MONDO:0006350
MONDO:0002838	MONDO:0006406
MONDO:0002839	MONDO:0018184
MONDO:0002841	MONDO:0016129
MONDO:0002873	MONDO:0006447
MONDO:0002890	MONDO:0006180
MONDO:0002893	MONDO:0006145
MONDO:0002895	MONDO:0018849
MONDO:0002902	MONDO:0019992
MONDO:0002906	MONDO:0019340
MONDO:0002925	MONDO:0018270
MONDO:0002932	MONDO:0006170
MONDO:0002964	MONDO:0015531
MONDO:0002980	MONDO:0006312
MONDO:0002983	MONDO:0020124
MONDO:0002985	MONDO:0015597
MONDO:0002986	MONDO:0019056
MONDO:0002992	MONDO:0015534
MONDO:0003006	MONDO:0015231
MONDO:0003013	MONDO:0018638
MONDO:0003015	MONDO:0006109
MONDO:0003016	MONDO:0006407
MONDO:0003018	MONDO:0016107
MONDO:0003020	MONDO:0015375
MONDO:0003048	MONDO:0006451
MONDO:0003063	MONDO:0016344
MONDO:0003071	MONDO:0017610
MONDO:0003074	MONDO:0018160
MONDO:0003080	MONDO:0020331
MONDO:0003094	MONDO:0006463
MONDO:0003099	MONDO:0016047
MONDO:0003101	MONDO:0015032
MONDO:0003102	MONDO:0019404
MONDO:0003106	MONDO:0018734
MONDO:0003114	MONDO:0006287
MONDO:0003116	MONDO:0017215
MONDO:0003119	MONDO:0021169
MONDO:0003123	MONDO:0007803
MONDO:0003127	MONDO:0005565
MONDO:0003131	MONDO:0017043
MONDO:0003132	MONDO:0017236
MONDO:0003146	MONDO:0016715
MONDO:0003148	MONDO:0020332
MONDO:0003149	MONDO:0020333
MONDO:0003151	MONDO:0005395
MONDO:0003156	MONDO:0006074
MONDO:0003160	MONDO:0006962
MONDO:0003161	MONDO:0016698
MONDO:0003162	MONDO:0016692
MONDO:0003166	MONDO:0016691
MONDO:0003167	MONDO:0016690
MONDO:0003176	MONDO:0006133
MONDO:0003178	MONDO:0006264
MONDO:0003179	MONDO:0006262
